gene_id,GSM1228184_AMC_2.1,GSM1228185_AMC_3.1,GSM1228186_AMC_5.1,GSM1228187_AMC_6.1,GSM1228188_AMC_7.1,GSM1228189_AMC_8.1,GSM1228190_AMC_9.1,GSM1228191_AMC_10.1,GSM1228192_AMC_12.1,GSM1228193_AMC_13.1,GSM1228194_AMC_17.1,GSM1228195_AMC_18.1,GSM1228196_AMC_19.1,GSM1228197_AMC_20.1,GSM1228198_AMC_21.1,GSM1228199_AMC_22.1,GSM1228200_AMC_23.1,GSM1228201_AMC_24.1,GSM1228202_AMC_2.2,GSM1228203_AMC_3.2,GSM1228204_AMC_5.2,GSM1228205_AMC_6.2,GSM1228206_AMC_7.2,GSM1228207_AMC_8.2,GSM1228208_AMC_9.2,GSM1228209_AMC_10.2,GSM1228210_AMC_12.2,GSM1228211_AMC_13.2,GSM1228212_AMC_17.2,GSM1228213_AMC_18.2,GSM1228214_AMC_19.2,GSM1228215_AMC_20.2,GSM1228216_AMC_21.2,GSM1228217_AMC_22.2,GSM1228218_AMC_23.2,GSM1228219_AMC_24.2,GSM1228220_AMC_2.3,GSM1228221_AMC_3.3,GSM1228222_AMC_5.3,GSM1228223_AMC_6.3,GSM1228224_AMC_7.3,GSM1228225_AMC_8.3,GSM1228226_AMC_9.3,GSM1228227_AMC_10.3,GSM1228228_AMC_12.3,GSM1228229_AMC_13.3,GSM1228230_AMC_17.3,GSM1228231_AMC_18.3,GSM1228232_AMC_19.3,GSM1228233_AMC_20.3,GSM1228234_AMC_21.3,GSM1228235_AMC_22.3,GSM1228236_AMC_23.3,GSM1228237_AMC_24.3
FAM163A,0.142947,0.0609653,0.312225,0.234268,0.107023,0.362641,1.50259,0.27882,0.119137,0.114701,0.433434,0.121463,0.208663,0.204752,0.40231,0.0942774,0.272345,0.218767,0.312414,0.429844,0.384287,0.493562,0.373155,0.130268,0.251369,0.523519,0.394056,0.283441,1.92519,0.31603,0.326551,0.354886,0.31642,0.43454,0.369076,0.622462,0.0222951,0.194543,0.400582,0.0500104,0.113123,0.120342,0.16915,0.0296098,0.0720019,0.122473,0.0392882,0.0642169,0.213276,0.062459,0.0788281,0.0375661,0.288815,0.213616
SNORA13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRK,2.94255,3.46923,4.54038,2.66687,2.78147,2.69186,10.221,3.46384,3.32455,3.37831,3.48158,1.90539,3.59915,2.75727,2.458,3.73037,3.08877,2.70293,4.09611,4.27343,4.53134,3.97228,4.34491,5.1843,3.7636,3.8057,4.55306,3.72084,4.36237,2.94655,3.56381,4.73047,3.62499,4.37919,4.77229,2.87481,2.52086,4.22331,3.24547,2.69601,3.64784,3.41551,3.17553,4.5615,2.55416,2.96519,2.36582,2.08943,1.64057,4.86097,2.82997,2.12436,3.02117,3.27808
KDM4A,10.6879,8.10967,11.434,6.25006,13.0324,10.6395,6.80375,9.87208,9.09856,10.3588,10.125,5.9384,13.4773,11.518,5.58838,9.43961,10.0071,8.52058,11.5612,12.9043,10.5377,10.3371,14.0615,11.9842,12.7894,12.3031,13.3421,16.3193,8.22143,9.69434,13.8046,13.3182,13.9604,14.0197,12.8949,10.7658,7.40942,14.5257,9.83759,5.73147,8.90294,6.92962,5.23875,8.0835,9.69734,8.09868,10.0203,5.57362,6.02189,9.10446,5.11442,8.74526,7.23965,6.22664
ITGA2,15.6697,8.84191,7.7683,17.5368,17.0467,6.69698,1.77507,9.15097,6.75394,6.83478,3.09853,10.7046,4.77299,25.1957,18.2913,5.44666,9.45526,31.8435,3.86449,4.59535,6.52071,2.64358,4.26384,4.67253,3.19938,4.22995,3.7526,3.59968,1.34344,4.3193,4.70246,5.24889,3.61589,4.90719,4.63385,3.32103,9.10177,5.65542,12.7084,14.1993,6.17308,3.1174,21.9273,2.32108,11.1152,14.2726,11.3246,13.7371,11.0784,12.5112,15.3582,2.9924,8.83054,36.7466
DUSP10,1.99666,3.79006,1.11477,4.41721,4.05451,1.97775,4.80154,3.71422,8.00238,3.1087,2.13513,6.3169,1.67666,7.65858,2.39264,3.10101,7.42144,3.08486,1.27236,1.92916,1.05302,1.36845,0.966757,2.18057,1.21578,1.18427,3.70194,1.14311,3.45735,2.80924,1.68355,2.22129,2.33076,3.41818,1.38629,2.21707,4.42038,1.55152,12.737,4.25081,8.60565,7.02128,8.24826,15.0223,3.33998,8.77431,2.60422,10.3117,1.74436,7.58468,7.31557,1.64433,11.1378,5.94888
KIF1C,19.7058,17.0277,32.5181,17.8388,20.0181,36.575,39.1113,23.6803,19.9468,34.9105,48.3864,19.7924,39.8444,35.784,13.8583,22.1989,26.4678,12.9036,35.9056,37.4446,32.4785,33.4782,35.585,37.4107,38.0541,38.0042,42.6742,45.3564,39.0621,34.7445,44.7844,36.6797,40.8497,37.049,46.6441,42.6416,25.7454,38.8795,19.6879,12.726,19.3972,21.5996,19.6389,36.5279,13.4731,21.6432,30.7958,16.8031,19.0168,26.2992,16.6426,20.9593,19.1251,17.6152
LOC285074,6.85719,5.79319,3.90029,5.66907,3.21043,4.05229,3.62317,4.29659,4.23183,4.40463,3.61547,6.89563,3.79528,3.65887,5.99817,3.79915,4.03017,3.0208,5.13225,3.90133,3.9567,4.2101,4.14822,4.07471,4.34302,4.87183,4.111,4.62933,3.5527,3.90749,3.45654,4.52946,4.99816,5.57608,4.33333,2.80595,6.86683,4.16339,3.24222,6.00005,3.99314,4.76594,3.04858,5.84984,4.89752,6.70057,4.44034,7.00012,4.72927,3.11286,6.51809,5.13997,3.68257,3.48668
MIR613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
