gene_set,set_size,stat_mean,p_greater,p_less,q_greater,comparison
cell_cycle_proliferation,7,15.77753326984127,0.005426691929506355,0.9945733080704937,0.03256015157703813,normal_colon_vs_primary_crc
ecm_invasion_metastasis,8,21.04141407638889,0.014506582870344552,0.9854934171296554,0.04351974861103366,normal_colon_vs_primary_crc
immune_inflammation,6,2.7490743185185185,0.02487083387574124,0.9751291661242587,0.04974166775148248,normal_colon_vs_primary_crc
wnt_beta_catenin_signaling,7,17.870097158730157,0.03910095399518189,0.9608990460048181,0.058651430992772834,normal_colon_vs_primary_crc
angiogenesis_hypoxia,5,7.2931672222222215,0.09765237288327266,0.9023476271167273,0.11718284745992719,normal_colon_vs_primary_crc
apoptosis_balance,6,0.8168567314814817,0.3865408499262375,0.6134591500737625,0.3865408499262375,normal_colon_vs_primary_crc
