gene_id,normal_mean,primary_mean,primary_minus_normal
OPN1MW2,0.0,0.004428466666666667,0.004428466666666667
MORF4L1,109.14351666666667,108.98576666666665,-0.15775000000002137
TTTY7,5.344444444444445e-8,1.5633333333333334e-7,1.028888888888889e-7
CTRL,0.42429830555555553,0.3456806111111111,-0.07861769444444444
INTU,0.7180207222222221,0.8472882777777778,0.1292675555555557
SEMA4D,5.819944444444444,6.836416666666667,1.0164722222222222
H3F3B,236.65016666666668,212.9378333333333,-23.71233333333339
MTPN,41.67043888888889,49.81301666666666,8.142577777777774
C20orf141,0.0,0.01620488888888889,0.01620488888888889
CHST8,0.1392674777777778,0.09939236666666668,-0.03987511111111111
LOC643406,0.13234066666666666,0.12080184555555556,-0.011538821111111097
ZSCAN12P1,0.3581036111111111,0.3937817777777778,0.03567816666666668
CYP17A1,0.008631183333333332,0.008041405555555554,-0.0005897777777777776
RNASE13,0.04507015,0.009271227777777778,-0.035798922222222224
RPE,13.794438888888891,20.340722222222226,6.546283333333335
IGFALS,0.8618006666666668,0.9553342611111112,0.09353359444444442
KRTCAP3,39.640544444444444,38.118035666666664,-1.5225087777777802
CLC,7.283731194444446,17.562691277777777,10.278960083333331
ERAP2,7.001768833333333,6.594093777777778,-0.40767505555555505
MIR4429,0.0,0.0,0.0
GATAD1,8.331199999999999,9.777066111111111,1.445866111111112
LOC100132891,0.41438783333333334,0.6282727777777778,0.21388494444444445
SNORA9,12.345872222222221,30.9915,18.645627777777776
CD2AP,33.07062222222222,23.608037222222222,-9.462584999999997
TTC31,9.774337222222222,8.635662222222221,-1.138675000000001
KCNN2,0.27983896666666663,0.3022889166666667,0.022449950000000052
LCNL1,0.06144468333333333,0.06455487777777777,0.0031101944444444363
PPP1R1B,137.35995,147.112255,9.752305000000007
RBMY3AP,0.0,0.0,0.0
TMEM141,160.62193888888888,144.86465555555554,-15.757283333333334
VTA1,18.897077777777778,18.54183888888889,-0.35523888888888777
ZFYVE26,2.887282777777778,2.574187777777778,-0.3130950000000001
SUMO1,62.93547777777778,69.13363888888888,6.198161111111105
CYP4A11,0.10419980000000001,0.06664019444444444,-0.03755960555555557
CLK3,14.312750000000001,11.097963333333333,-3.2147866666666687
KRR1,9.021421666666667,11.51941,2.4979883333333337
MMP20,0.0,0.007540583333333333,0.007540583333333333
RAB13,47.06271666666666,55.65103333333333,8.588316666666671
LINC00596,0.0,0.0,0.0
MRPS18B,32.37237222222222,37.23636111111111,4.8639888888888905
LLPH,24.540927777777775,29.276327777777777,4.735400000000002
ARF1,243.5782222222222,253.5687777777778,9.990555555555602
TUBB4A,1.4184444444444446,0.36819254444444444,-1.0502519000000001
SSRP1,29.900999999999996,45.75175555555555,15.850755555555551
C7orf31,3.1306027777777783,2.267189111111111,-0.8634136666666672
MIR300,0.0,0.0,0.0
RPL37A,2044.6866666666667,2529.0105555555556,484.32388888888886
ZNF32-AS3,0.0,0.0,0.0
LOC341056,0.000999888888888889,0.0017608411111111114,0.0007609522222222225
RSRC1,7.1264361111111105,10.599128333333333,3.4726922222222223
YLPM1,6.730595555555556,6.9642800000000005,0.23368444444444414
HSD17B10,47.453372222222214,62.72292222222222,15.26955000000001
DLEU7,0.13343968333333334,0.5775690666666667,0.4441293833333334
DLG1,16.134483333333336,14.90950888888889,-1.2249744444444453
AKAP8L,11.544911666666666,13.993601666666667,2.448690000000001
PPP1CA,88.29106666666667,79.94951111111112,-8.341555555555544
ABRACL,95.70016111111111,90.14583333333333,-5.554327777777786
MRPL18,31.826611111111113,38.59715555555556,6.770544444444447
NSFL1C,18.297155555555555,18.733715555555552,0.4365599999999965
SNORD99,0.0,0.0,0.0
STAG3L3,3.1199161111111113,3.1649861111111113,0.04506999999999994
SLC25A19,3.510953888888889,4.346731666666667,0.835777777777778
TMEM237,1.266383277777778,2.011922777777778,0.7455395
C6orf165,0.03060645,0.08154795,0.050941499999999994
KCMF1,9.153796111111111,8.945721666666666,-0.20807444444444556
CSPP1,1.9564511111111114,2.7278816666666668,0.7714305555555554
ACTR3B,2.2847538888888885,4.751852222222222,2.467098333333334
KIF7,0.9101005555555557,1.0522952222222224,0.1421946666666667
MPZ,3.8417738888888886,1.4360607222222221,-2.4057131666666667
TRIM44,13.867204444444447,16.512022222222225,2.644817777777778
ZNF829,0.3169261666666667,0.18609394444444444,-0.13083222222222224
ZNF323,2.0797583333333334,2.537831111111111,0.4580727777777778
ADAMTS1,8.752841666666667,8.916188333333332,0.16334666666666564
SIGLEC9,1.064271,0.9525119444444444,-0.11175905555555554
YPEL1,1.4585447222222223,1.0621491111111112,-0.3963956111111111
C22orf15,0.038699961111111104,0.03280394444444444,-0.005896016666666663
PLEKHN1,0.2595211,1.0272170777777778,0.7676959777777779
MTA1,11.211461666666667,12.896405,1.684943333333333
C16orf71,0.07152602777777778,0.08858720166666667,0.017061173888888892
MIR4765,0.0,0.0,0.0
SNORD116-16,0.0,0.0,0.0
