gene_id,value
K00957,1.0
K00962,0.0
K00963,-0.2
K00969,0.0
K00970,1.0
K00971,1.0
K00973,0.19999999999999996
K00974,-1.0
K00975,0.0
K00978,0.4
K00979,1.0
K00981,0.0
K00982,0.8
K00984,-0.6
K00986,0.19999999999999996
K00989,0.0
K00990,1.0
K00991,-1.0
K00992,1.0
K00997,0.0
K00998,-0.2
K01000,0.0
K01004,1.0
K01005,-1.0
K01006,1.0
K01007,-0.2
K01011,0.0
K01013,-0.4
K01026,0.8
K01031,1.0
K01032,1.0
K01040,0.4
K01046,0.0
K01048,0.8
K01053,1.0
K01054,0.0
K01055,0.0
K01056,0.0
K01057,1.0
K01060,0.6
K01061,1.0
K01066,0.0
K01069,0.0
K01070,1.0
K01075,0.8
K01077,1.0
K01079,0.8
K01082,1.0
K01083,-0.2
K01087,1.0
K01089,-0.2
K01091,0.0
K01092,0.0
K01104,-0.2
K01114,1.0
K01115,0.4
K01118,0.0
K01119,0.19999999999999996
K01121,-0.2
K01126,0.0
K01129,1.0
K01130,0.6000000000000001
K01133,1.0
K01134,0.8
K01139,0.0
K01142,1.0
K01147,-0.2
K01150,-0.2
K01151,-1.0
K01153,0.0
K01154,0.2
K01156,-0.2
K01159,1.0
K01160,0.4
K01169,1.0
K01173,0.2
K01174,0.0
K01175,0.19999999999999996
K01176,-1.0
K01178,0.4
K01181,1.0
K01182,0.0
K01184,1.0
K01185,1.0
K01186,1.0
K01190,1.0
K01191,1.0
K01192,1.0
K01193,0.0
K01198,0.6
K01200,-1.0
K01206,1.0
K01207,0.0
K01208,-0.8
K01209,0.6
K01214,1.0
K01217,1.0
K01218,1.0
K01222,-1.0
K01223,-1.0
K01226,-1.0
K01228,0.2
K01232,-0.6
K01233,0.2
K01236,1.0
K01239,1.0
K01240,0.8
K01241,1.0
K01243,0.0
K01246,0.19999999999999996
K01247,0.4
K01251,1.0
K01255,0.0
K01256,0.8
K01258,0.0
K01259,1.0
K01261,-1.0
K01262,1.0
K01265,0.0
K01269,-1.0
K01270,-0.2
K01271,0.0
K01273,1.0
K01274,-1.0
K01284,1.0
K01286,0.0
K01288,0.4
K01297,-0.8
K01299,-1.0
K01318,0.6
K01322,1.0
K01323,0.4
K01337,0.2
K01338,0.0
K01342,0.2
K01354,1.0
K01355,0.2
K01356,0.0
K01358,0.0
K01361,-1.0
K01400,-1.0
K01406,1.0
K01409,0.0
K01414,-0.2
K01419,0.0
K01420,1.0
K01421,-1.0
K01423,1.0
K01424,-1.0
K01425,0.4
K01426,0.0
K01428,1.0
K01429,1.0
K01430,1.0
K01432,0.8
K01433,1.0
K01436,-1.0
K01438,1.0
K01439,1.0
K01442,-0.8
K01443,0.0
K01447,-0.2
K01448,0.0
K01449,1.0
K01451,1.0
K01452,-0.2
K01453,0.4
K01455,1.0
K01457,1.0
K01458,1.0
K01460,-0.8
K01462,0.0
K01463,-0.8
K01464,1.0
K01465,0.0
K01466,1.0
K01468,1.0
K01469,0.6
K01470,1.0
K01473,1.0
K01474,1.0
K01475,-0.2
K01476,0.0
K01478,-0.8
K01480,0.0
K01483,1.0
K01485,0.8
K01486,0.0
K01487,1.0
K01488,0.4
K01489,0.0
K01491,0.0
K01493,-0.8
K01494,0.8
K01495,1.0
K01496,1.0
K01497,-0.2
K01501,0.8
K01507,0.8
K01512,0.0
K01515,-1.0
K01517,0.6
K01519,0.0
K01520,0.8
K01523,0.0
K01524,0.0
K01529,-0.2
K01531,0.2
K01533,0.4
K01534,0.0
K01546,1.0
K01547,0.8
K01548,1.0
K01551,-0.6
K01552,-0.8
K01554,1.0
K01556,-1.0
K01560,0.0
K01561,0.8
K01563,0.8
K01574,0.8
K01578,0.8
K01579,-1.0
K01580,-0.2
K01581,1.0
K01584,0.6
K01585,-0.6
K01586,0.0
K01588,0.0
K01589,0.0
K01591,0.0
K01593,1.0
K01595,0.2
K01599,0.0
K01607,1.0
K01609,0.0
K01610,0.0
K01611,-1.0
K01613,0.0
K01617,0.2
K01619,0.0
K01620,0.0
K01621,1.0
K01623,1.0
K01624,1.0
K01625,1.0
K01626,0.0
K01627,1.0
K01631,1.0
K01633,0.0
K01637,0.0
K01638,0.0
K01643,-0.2
K01644,0.8
K01647,1.0
K01649,1.0
K01652,0.8
K01653,1.0
K01657,-1.0
K01658,-0.8
K01659,-1.0
K01661,-1.0
K01662,0.0
K01664,-0.2
K01665,-0.2
K01669,0.0
K01673,0.0
K01674,0.2
K01676,0.8
K01679,0.0
K01681,0.0
K01684,1.0
K01685,1.0
K01686,0.8
K01687,0.8
K01689,0.0
K01690,1.0
K01692,0.4
K01693,0.0
K01695,0.0
K01696,0.0
K01698,0.0
K01702,1.0
K01707,1.0
K01709,0.4
K01710,0.19999999999999996
K01711,0.6
K01712,0.8
K01713,0.4
K01714,0.0
K01715,1.0
K01716,1.0
K01719,0.0
K01721,1.0
K01724,0.0
K01726,0.0
K01728,-0.8
K01734,0.0
K01735,0.0
K01736,0.0
K01737,-0.4
K01738,0.0
K01740,1.0
K01744,0.2
K01745,1.0
K01749,0.0
K01750,1.0
K01751,0.4
K01752,0.0
K01754,1.0
K01755,0.0
K01756,0.0
K01758,-0.2
K01759,1.0
K01760,1.0
K01761,1.0
K01766,-0.2
K01768,1.0
K01770,-1.0
K01772,0.0
K01775,0.0
K01776,0.0
K01777,0.4
K01778,1.0
K01779,0.8
K01782,1.0
K01783,0.0
K01784,0.0
K01785,0.0
K01788,-0.8
K01790,1.0
K01791,-1.0
K01792,0.0
K01799,0.8
K01800,0.6
K01801,1.0
K01803,0.0
K01804,0.0
K01805,0.8
K01807,0.8
K01808,-0.19999999999999996
K01809,-0.4
K01810,0.0
K01811,-1.0
K01812,1.0
K01814,0.0
K01815,1.0
K01816,0.8
K01817,0.0
K01820,1.0
K01821,0.0
K01822,0.6
K01823,-0.4
K01825,-0.2
K01826,0.6
K01833,0.2
K01834,1.0
K01835,0.0
K01838,0.0
K01839,0.0
K01840,0.0
K01843,1.0
K01845,-0.19999999999999996
K01847,1.0
K01856,0.2
K01857,1.0
K01866,0.0
K01867,0.0
K01868,0.0
K01869,0.0
K01870,0.0
K01872,0.0
K01873,0.0
K01874,0.0
K01875,0.0
K01876,0.0
K01878,0.0
K01879,0.0
K01880,0.4
K01881,0.0
K01883,0.0
K01885,0.8
K01887,0.0
K01889,0.0
K01890,0.0
K01892,0.0
K01893,-1.0
K01895,0.0
K01897,-0.2
K01899,1.0
K01902,-1.0
K01903,0.0
K01907,1.0
K01908,1.0
K01911,-1.0
K01912,-0.4
K01914,-1.0
K01915,0.0
K01916,0.0
K01918,0.0
K01919,0.19999999999999996
K01920,1.0
K01921,0.0
K01923,0.0
K01924,0.0
K01925,0.0
K01926,-1.0
K01928,0.0
K01929,0.0
K01933,-1.0
K01934,0.0
K01935,-0.2
K01937,0.0
K01938,0.0
K01939,0.0
K01940,0.0
K01941,1.0
K01945,0.0
K01949,1.0
K01950,1.0
K01951,0.0
K01953,0.20000000000000007
K01955,0.0
K01956,0.0
K01958,0.0
K01961,0.0
K01962,0.0
K01963,0.0
K01965,1.0
K01966,1.0
K01968,1.0
K01969,1.0
K01971,1.0
K01972,0.0
K01975,0.0
K01989,1.0
K01990,0.0
K01991,0.8
K01993,0.8
K01994,0.2
K01995,0.8
K01996,1.0
K01997,1.0
K01998,0.8
K01999,0.8
K02000,0.8
K02001,0.8
K02002,1.0
K02003,0.0
K02004,0.0
K02005,0.4
K02010,0.0
K02011,0.0
K02012,0.0
K02013,0.6
K02014,-0.2
K02015,0.0
K02016,0.0
K02017,1.0
K02018,0.19999999999999996
K02019,1.0
K02020,0.19999999999999996
K02021,1.0
K02025,0.19999999999999996
K02026,0.19999999999999996
K02027,0.19999999999999996
K02028,0.0
K02029,0.0
K02030,1.0
K02031,0.6
K02032,0.0
K02033,0.0
K02034,0.0
K02035,0.8
K02036,0.0
K02037,0.0
K02038,0.0
K02039,0.0
K02040,0.0
K02041,1.0
K02042,1.0
K02043,1.0
K02044,1.0
K02045,0.8
K02046,1.0
K02047,1.0
K02049,1.0
K02050,1.0
K02051,1.0
K02052,1.0
K02053,0.0
K02054,0.0
K02055,1.0
K02056,1.0
K02057,0.8
K02058,0.4
K02065,1.0
K02066,1.0
K02067,1.0
K02068,-1.0
K02069,-1.0
K02071,0.0
K02072,0.0
K02073,0.0
K02074,1.0
K02075,1.0
K02076,-1.0
K02077,1.0
K02078,0.0
K02081,1.0
K02086,-0.8
K02099,0.0
K02103,-0.4
K02108,-1.0
K02109,0.0
K02110,-1.0
K02111,-1.0
K02113,0.0
K02114,0.0
K02115,0.0
K02116,1.0
K02126,1.0
K02128,1.0
K02132,1.0
K02133,0.0
K02160,0.0
K02167,0.8
K02168,-0.2
K02169,0.8
K02170,1.0
K02171,-0.4
K02173,1.0
K02182,0.2
K02183,0.2
K02189,1.0
K02193,0.4
K02194,1.0
K02195,1.0
K02196,1.0
K02197,1.0
K02198,1.0
K02199,0.0
K02200,1.0
K02204,0.4
K02221,0.0
K02224,1.0
K02225,1.0
K02226,1.0
K02227,1.0
K02228,1.0
K02229,1.0
K02230,1.0
K02231,1.0
K02232,1.0
K02233,1.0
K02234,0.0
K02236,-1.0
K02237,-1.0
K02238,0.0
K02240,-1.0
K02242,0.0
K02243,-1.0
K02244,-1.0
K02245,-1.0
K02246,-0.8
K02250,-1.0
K02257,0.0
K02258,1.0
K02259,0.0
K02262,1.0
K02274,0.0
K02275,0.0
K02276,1.0
K02277,1.0
K02278,1.0
K02279,1.0
K02280,1.0
K02281,1.0
K02282,1.0
K02283,1.0
K02294,1.0
K02297,1.0
K02298,0.8
K02299,1.0
K02300,0.8
K02302,1.0
K02303,1.0
K02313,0.0
K02314,0.0
K02315,0.0
K02316,0.0
K02335,0.0
K02336,-0.2
K02337,0.0
K02338,0.0
K02339,0.8
K02340,0.0
K02341,0.0
K02342,0.0
K02343,0.0
K02346,0.0
K02347,-1.0
K02348,0.0
K02351,-0.4
K02355,0.0
K02356,0.0
K02357,0.0
K02358,0.0
K02364,0.4
K02372,0.0
K02377,0.6
K02381,-0.4
K02383,0.0
K02385,-1.0
K02386,1.0
K02387,0.0
K02388,0.0
K02389,0.0
K02390,1.0
K02391,0.0
K02392,0.0
K02393,1.0
K02394,1.0
K02395,1.0
K02396,0.0
K02397,0.0
K02398,-1.0
K02399,-1.0
K02400,0.0
K02401,0.0
K02404,-1.0
K02405,-1.0
K02406,0.0
K02407,-1.0
K02408,0.0
K02409,0.0
K02410,0.0
K02411,-1.0
K02412,0.0
K02413,-1.0
K02414,-1.0
K02415,0.0
K02416,0.0
K02417,0.0
K02418,-0.8
K02419,0.0
K02420,0.0
K02421,0.0
K02422,-1.0
K02424,0.0
K02426,1.0
K02427,1.0
K02431,1.0
K02433,0.0
K02434,0.0
K02435,0.0
K02437,0.0
K02438,1.0
K02439,0.19999999999999996
K02440,-1.0
K02441,0.8
K02443,-1.0
K02444,1.0
K02445,-0.2
K02446,-1.0
K02450,0.4
K02456,-1.0
K02458,-0.8
K02469,0.0
K02470,0.0
K02471,1.0
K02472,-1.0
K02473,0.6000000000000001
K02474,-0.6
K02477,-1.0
K02478,-1.0
K02479,0.2
K02480,1.0
K02482,0.6
K02483,-0.2
K02484,-0.39999999999999997
K02485,0.2
K02486,1.0
K02488,0.0
K02490,-1.0
K02491,-0.8
K02492,-0.8
K02493,0.0
K02495,0.0
K02496,-0.2
K02497,-1.0
K02498,0.8
K02499,-1.0
K02500,0.0
K02501,0.0
K02502,0.0
K02503,0.0
K02509,0.6
K02510,0.6
K02517,1.0
K02518,0.0
K02519,0.0
K02520,0.0
K02523,1.0
K02527,1.0
K02528,0.0
K02529,0.6
K02532,-0.2
K02533,1.0
K02535,1.0
K02536,0.8
K02548,-1.0
K02549,-1.0
K02551,-1.0
K02552,-1.0
K02554,1.0
K02556,0.0
K02557,0.0
K02560,-0.2
K02563,0.0
K02564,-1.0
K02565,0.19999999999999996
K02570,-0.2
K02572,-0.2
K02574,0.8
K02575,0.4
K02584,1.0
K02585,1.0
K02586,1.0
K02587,1.0
K02588,0.8
K02591,1.0
K02592,1.0
K02593,0.4
K02596,0.2
K02598,-1.0
K02600,0.0
K02601,0.0
K02609,-0.2
K02610,-0.2
K02611,-0.2
K02612,0.8
K02613,-0.2
K02614,1.0
K02618,-0.2
K02619,-1.0
K02621,1.0
K02622,0.6
K02623,1.0
K02624,1.0
K02636,0.0
K02638,0.8
K02647,-1.0
K02651,1.0
K02652,-1.0
K02653,-1.0
K02656,1.0
K02662,-1.0
K02664,-1.0
K02669,-1.0
K02672,-0.6
K02687,0.0
K02688,-1.0
K02757,-1.0
K02759,-1.0
K02760,-1.0
K02761,-1.0
K02768,-0.4
K02770,-1.0
K02773,-1.0
K02775,-0.2
K02777,-1.0
K02784,0.0
K02786,-1.0
K02791,-0.8
K02793,1.0
K02798,-0.8
K02800,-0.8
K02804,-1.0
K02805,0.4
K02806,0.8
K02810,-1.0
K02819,-1.0
K02821,-0.2
K02822,-0.4
K02823,-1.0
K02824,-1.0
K02825,-1.0
K02827,-1.0
K02828,-1.0
K02829,-1.0
K02834,0.0
K02835,0.0
K02836,0.0
K02837,0.0
K02838,0.0
K02843,-0.2
K02847,1.0
K02848,-0.2
K02849,-0.2
K02851,-1.0
K02852,-0.2
K02853,-0.2
K02859,-1.0
K02860,0.0
K02862,-1.0
K02863,0.0
K02864,0.0
K02867,0.0
K02871,0.0
K02874,0.0
K02876,0.0
K02878,0.0
K02879,0.0
K02881,0.0
K02884,0.0
K02886,0.0
K02887,0.0
K02888,0.0
K02890,0.0
K02892,-0.4
K02895,0.0
K02897,0.0
K02899,0.0
K02902,0.6
K02904,1.0
K02906,0.0
K02907,0.0
K02909,0.0
K02911,0.4
K02913,0.0
K02914,-0.4
K02916,0.0
K02919,0.4
K02926,0.0
K02931,0.0
K02933,0.0
K02935,0.0
K02939,0.0
K02945,0.0
K02946,0.0
K02948,0.0
K02950,0.0
K02952,0.0
K02954,0.0
K02956,0.0
K02959,0.0
K02961,0.0
K02963,0.0
K02965,0.0
K02967,0.0
K02968,0.0
K02970,0.0
K02982,0.0
K02986,0.0
K02988,0.0
K02990,0.0
K02992,0.0
K02994,0.0
K02996,0.0
K03040,0.0
K03043,-1.0
K03046,0.0
K03048,-1.0
K03060,0.0
K03070,0.0
K03071,0.8
K03072,0.4
K03073,0.0
K03074,-1.0
K03075,0.0
K03076,0.0
K03077,-0.4
K03079,1.0
K03086,0.0
K03088,0.0
K03089,1.0
K03090,-1.0
K03091,-1.0
K03092,0.0
K03098,0.4
K03100,0.0
K03101,0.0
K03106,0.0
K03110,0.0
K03111,0.0
K03112,-0.2
K03116,0.4
K03117,1.0
K03118,0.0
K03147,0.6000000000000001
K03148,-0.8
K03149,0.39999999999999997
K03153,0.0
K03154,0.6
K03163,-0.2
K03168,0.0
K03169,-1.0
K03177,0.0
K03179,1.0
K03183,0.0
K03185,1.0
K03186,0.8
K03187,0.8
K03188,1.0
K03189,1.0
K03190,1.0
K03192,0.8
K03194,1.0
K03195,0.6000000000000001
K03196,0.6000000000000001
K03197,0.8
K03198,0.8
K03199,0.6000000000000001
K03200,0.6000000000000001
K03201,0.8
K03202,0.6
K03203,0.6000000000000001
K03204,0.6000000000000001
K03205,0.4
K03208,-0.8
K03210,0.0
K03215,0.0
K03216,0.0
K03217,0.0
K03218,0.0
K03219,-0.2
K03224,-0.2
K03269,1.0
K03271,0.2
K03273,0.2
K03276,1.0
K03279,0.8
K03281,0.8
K03282,0.0
K03284,0.0
K03286,1.0
K03291,1.0
K03293,-1.0
K03294,1.0
K03296,0.0
K03297,1.0
K03298,0.6
K03303,-1.0
K03304,0.2
K03305,-1.0
K03306,1.0
K03307,0.0
K03308,-1.0
K03309,-1.0
K03310,-1.0
K03311,-1.0
K03312,-0.2
K03313,0.4
K03315,-1.0
K03317,-1.0
K03319,-0.2
K03320,0.0
K03321,0.0
K03322,1.0
K03324,0.0
K03325,-0.2
K03326,-0.2
K03327,0.0
K03328,0.0
K03331,1.0
K03332,0.2
K03333,0.2
K03335,0.8
K03336,1.0
K03337,0.8
K03338,1.0
K03339,-1.0
K03340,-0.2
K03342,1.0
K03346,-1.0
K03366,1.0
K03381,0.2
K03382,1.0
K03383,1.0
K03387,-1.0
K03392,0.2
K03395,0.2
K03396,1.0
K03400,0.2
